# Region file format: DS9 version 4.1
global color=green dashlist=8 3 width=1 font="helvetica 10 normal roman" select=1 highlite=1 dash=0 fixed=0 edit=1 move=1 delete=1 include=1 source=1
fk5
ellipse(17:45:41.2136,-29:02:10.066,1.733",1.432",113.42081) # color=magenta
ellipse(17:45:34.5569,-29:02:01.046,2.996",1.673",165.03366)
ellipse(17:45:41.3403,-29:01:55.709,2.606",1.011",21.003474)
ellipse(17:45:41.0804,-29:01:54.874,2.714",1.206",12.2435)
ellipse(17:45:40.8142,-29:01:53.414,3.588",2.089",176.85421)
ellipse(17:45:40.5126,-29:01:52.513,1.824",1.263",16.252617)
ellipse(17:45:40.3065,-29:01:51.833,1.095",1.049",85.931954)
ellipse(17:45:40.0815,-29:01:50.976,1.947",1.527",1.06679)
ellipse(17:45:39.7283,-29:01:49.346,2.403",1.894",6.290724)
ellipse(17:45:40.8091,-29:01:48.959,2.027",1.537",29.613303) # color=magenta
ellipse(17:45:39.4017,-29:01:48.471,1.229",1.084",134.72155)
ellipse(17:45:39.0282,-29:01:46.662,1.218",0.969",43.26289)
ellipse(17:45:38.8259,-29:01:46.004,2.472",2.070",175.04491)
ellipse(17:45:38.6004,-29:01:45.059,4.602",2.777",116.92679)
ellipse(17:45:38.2842,-29:01:43.948,3.879",2.738",171.01841)
ellipse(17:45:37.8673,-29:01:42.185,1.275",1.078",124.9815)
ellipse(17:45:37.6627,-29:01:41.454,2.513",1.917",13.616782)
ellipse(17:45:37.1919,-29:01:39.768,2.404",1.112",32.431374)
ellipse(17:45:36.9567,-29:01:38.829,1.048",0.913",1.20252)
ellipse(17:45:36.7427,-29:01:38.173,1.176",1.058",172.58377)
ellipse(17:45:37.9861,-29:01:34.584,3.130",2.693",156.12652)
ellipse(17:45:35.6331,-29:01:33.763,2.785",2.709",41.650025)
ellipse(17:45:39.0411,-29:01:26.538,3.756",2.567",40.10129)
ellipse(17:45:35.7803,-29:01:09.027,1.883",1.619",32.467372)
ellipse(17:45:38.7990,-29:00:56.045,3.560",2.147",35.532814) # color=magenta
ellipse(17:45:40.1449,-29:00:55.696,3.739",2.472",52.905924) # color=magenta
ellipse(17:45:36.8809,-29:00:39.139,2.926",2.061",86.954129)
ellipse(17:45:41.8357,-29:00:37.306,1.748",1.437",141.69585) # color=magenta
ellipse(17:45:39.5104,-29:00:32.320,2.145",1.906",118.75513) # color=magenta
ellipse(17:45:40.1547,-29:00:29.511,2.278",1.909",45.590504)
ellipse(17:45:39.7562,-29:00:29.356,1.966",1.680",51.255508) # color=magenta
ellipse(17:45:39.7743,-29:00:23.473,1.295",1.078",42.535644)
ellipse(17:45:38.0554,-29:00:22.116,1.444",1.164",74.831632) # color=magenta
ellipse(17:45:39.7817,-29:00:20.302,2.080",1.590",98.423146)
ellipse(17:45:40.3000,-29:00:04.262,3.690",3.219",32.475366)
ellipse(17:45:37.7031,-29:00:01.655,2.350",2.215",160.84046)
ellipse(17:45:41.5927,-28:59:52.387,3.278",2.020",171.21559) # color=magenta
ellipse(17:45:43.7690,-28:59:47.146,1.729",1.660",84.621522)
ellipse(17:45:41.8435,-28:59:21.512,1.762",1.387",50.907749)
ellipse(17:45:44.2679,-28:59:18.486,4.384",3.241",56.426961)
ellipse(17:45:39.8538,-28:59:01.532,2.535",1.277",34.368381) # color=magenta
ellipse(17:45:40.1921,-28:59:00.513,1.775",0.799",163.36287) # color=magenta
ellipse(17:45:41.6200,-29:01:57.175,5.292",2.074",167.10562)
ellipse(17:45:38.1748,-29:00:46.819,1.174",0.925",179.99701)
ellipse(17:45:39.6650,-29:00:47.981,1.983",1.844",112.24077)
ellipse(17:45:42.7529,-29:00:39.434,3.616",2.892",93.293075)
ellipse(17:45:42.3172,-28:59:59.373,2.246",1.784",11.669164) # color=magenta
ellipse(17:45:44.4609,-28:59:35.587,2.940",2.289",112.22928)
ellipse(17:45:43.7625,-28:59:08.868,3.356",1.497",37.675958)
